First name,Last name,Gender,Email,Salary,Rank,Unit,Position,Station
ERIC,CLARK,MALE,eric.clark@garda.ie,€31750,INSPECTOR,CRIME PREVENTION,SUPERVISOR,CORK
DANIEL,VEGA,MALE,daniel.vega@garda.ie,€77368,CHIEF SUPERINTENDENT,TRAFFIC UNIT,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,LIMERICK
ANDREW,ROSE,MALE,andrew.rose@garda.ie,€32085,SERGEANT,CRIME PREVENTION,TRAINING INSTRUCTOR,WATERFORD
DAVID,GARNER,MALE,david.garner@garda.ie,€69287,CHIEF SUPERINTENDENT,MAYOR CRIMES,SUPERVISOR,LIMERICK
RUTH,MORALES,FEMALE,ruth.morales@garda.ie,€86660,GARDA,NARCOTICS UNIT,SCENES OF CRIME OFFICER,GALWAY
SANDRA,MILLER,FEMALE,sandra.miller@garda.ie,€40883,INSPECTOR,TRAFFIC UNIT,DETECTIVE,LIMERICK
SHAWN,DONALDSON,MALE,shawn.donaldson@garda.ie,€55128,INSPECTOR,CYBER CRIME,PATROL OFFICER,LIMERICK
RUSSELL,BROOKS,MALE,russell.brooks@garda.ie,€98118,SUPERINTENDENT,TRAFFIC UNIT,TRAINING INSTRUCTOR,GALWAY
LORI,CALDERON,FEMALE,lori.calderon@garda.ie,€70414,GARDA,PATROL UNIT,COUNTER TERRORISM AND INTELLIGENCE OFFICER,CORK
TRACY,SMITH,FEMALE,tracy.smith@garda.ie,€98965,SERGEANT,TRAFFIC UNIT,SCENES OF CRIME OFFICER,GALWAY
SARAH,BRANDT,FEMALE,sarah.brandt@garda.ie,€74497,INSPECTOR,NARCOTICS UNIT,CRIME PREVENTION OFFICER,GALWAY
MARIO,KING,MALE,mario.king@garda.ie,€76912,GARDA,NARCOTICS UNIT,TRAINING INSTRUCTOR,CORK
IAN,PERKINS,MALE,ian.perkins@garda.ie,€62358,INSPECTOR,CRIME PREVENTION,COUNTER TERRORISM AND INTELLIGENCE OFFICER,GALWAY
ANDREW,HARMON,MALE,andrew.harmon@garda.ie,€46033,GARDA,SPECIAL DETECTIVE UNIT,SCENES OF CRIME OFFICER,GALWAY
ADAM,GRAY,MALE,adam.gray@garda.ie,€44768,CHIEF SUPERINTENDENT,SPECIAL DETECTIVE UNIT,SUPERVISOR,LIMERICK
KENDRA,JOHNSON,FEMALE,kendra.johnson@garda.ie,€91927,SUPERINTENDENT,NARCOTICS UNIT,ADMINISTRATOR,CORK
STEVEN,GUTIERREZ,MALE,steven.gutierrez@garda.ie,€82149,CHIEF SUPERINTENDENT,CYBER CRIME,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,LIMERICK
LAURIE,KENNEDY,FEMALE,laurie.kennedy@garda.ie,€55339,SERGEANT,SPECIAL OPERATIONS UNIT,DETECTIVE,DUBLIN
DEREK,BRADY,MALE,derek.brady@garda.ie,€40698,SERGEANT,MAYOR CRIMES,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,DUBLIN
