firstName,lastName,gender,email,salary,unit,rank,position,station
EMMA,OCRAINE,FEMALE,emma.ocraine@garda.ie,€12684.00,CYBER CRIME,CHIEF SUPERINTENDENT,PATROL OFFICER,DUBLIN
SIOBHAN,REDMOND,MALE,siobhan.redmond@garda.ie,€3845.00,MAYOR CRIMES,SUPERINTENDENT,IMMIGRATION OFFICER,CORK
SEAN,COLLINS,MALE,sean.collins@garda.ie,€5344.00,CYBER CRIME,INSPECTOR,DETECTIVE,GALWAY
AMY,MULVIHILL,FEMALE,amy.mulvihill@garda.ie,€12388.00,MAYOR CRIMES,GARDA,DETECTIVE,LIMERICK
NIALL,MCGRATH,MALE,niall.mcgrath@garda.ie,€10160.00,SPECIAL OPERATIONS UNIT,CHIEF SUPERINTENDENT,DETECTIVE,GALWAY
ROISIN,MULVIHILL,FEMALE,roisin.mulvihill@garda.ie,€10606.00,TRAFFIC UNIT,SUPERINTENDENT,SCENES OF CRIME OFFICER,GALWAY
LIAM,COSTELLO,MALE,liam.costello@garda.ie,€7346.00,TRAFFIC UNIT,INSPECTOR,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,WATERFORD
RACHEL,CAHILL,MALE,rachel.cahill@garda.ie,€3291.00,MAYOR CRIMES,DEPUTY COMMISSIONER,SPECIALIST,WATERFORD
MIA,MORAN,MALE,mia.moran@garda.ie,€12606.00,NARCOTICS UNIT,COMMISSIONER,PATROL OFFICER,CORK
MIA,BURKE,MALE,mia.burke@garda.ie,€5456.00,TRAFFIC UNIT,GARDA,IMMIGRATION OFFICER,CORK
LEAH,DEVLIN,MALE,leah.devlin@garda.ie,€12266.00,MAYOR CRIMES,INSPECTOR,SPECIALIST,DUBLIN
COLIN,KENNEDY,FEMALE,colin.kennedy@garda.ie,€11668.00,PATROL UNIT,CHIEF SUPERINTENDENT,IMMIGRATION OFFICER,LIMERICK
AMY,BRENNAN,MALE,amy.brennan@garda.ie,€5724.00,NARCOTICS UNIT,INSPECTOR,PATROL OFFICER,LIMERICK
AMY,BOYLE,MALE,amy.boyle@garda.ie,€6749.00,NARCOTICS UNIT,COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,DUBLIN
EMMA,CONNOLLY,MALE,emma.connolly@garda.ie,€5499.00,SPECIAL OPERATIONS UNIT,CHIEF SUPERINTENDENT,SPECIALIST,GALWAY
SARAH,COSTELLO,FEMALE,sarah.costello@garda.ie,€12339.00,CRIME PREVENTION,INSPECTOR,ADMINISTRATOR,DUBLIN
NIALL,CASEY,FEMALE,niall.casey@garda.ie,€5565.00,MAYOR CRIMES,DEPUTY COMMISSIONER,TRAINING INSTRUCTOR,CORK
DYLAN,MAHONY,FEMALE,dylan.mahony@garda.ie,€9419.00,MAYOR CRIMES,COMMISSIONER,ADMINISTRATOR,WATERFORD
RACHEL,OFLAHERTY,FEMALE,rachel.oflaherty@garda.ie,€10217.00,TRAFFIC UNIT,GARDA,SCENES OF CRIME OFFICER,GALWAY
OLIVIA,FITZPATRICK,FEMALE,olivia.fitzpatrick@garda.ie,€10669.00,NARCOTICS UNIT,DEPUTY COMMISSIONER,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,CORK
CONNOR,OCRAIG,MALE,connor.ocraig@garda.ie,€5030.00,CRIME PREVENTION,DEPUTY COMMISSIONER,SPECIALIST,LIMERICK
CIARAN,CLARKE,FEMALE,ciaran.clarke@garda.ie,€4318.00,SPECIAL DETECTIVE UNIT,SERGEANT,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,WATERFORD
NIAMH,KELLY,FEMALE,niamh.kelly@garda.ie,€10329.00,TRAFFIC UNIT,SUPERINTENDENT,TRAINING INSTRUCTOR,CORK
SIOBHAN,MURRAY,MALE,siobhan.murray@garda.ie,€3428.00,PATROL UNIT,CHIEF SUPERINTENDENT,GARDA NATIONAL DRUGS AND ORGANISED CRIME BUREAU OFFICER,DUBLIN
ISABELLA,KAVANAGH,MALE,isabella.kavanagh@garda.ie,€4217.00,CYBER CRIME,SUPERINTENDENT,TRAINING INSTRUCTOR,GALWAY
KATIE,HEALY,FEMALE,katie.healy@garda.ie,€4232.00,SPECIAL DETECTIVE UNIT,SUPERINTENDENT,SUPERVISOR,GALWAY
EMMA,REILLY,MALE,emma.reilly@garda.ie,€6445.00,SPECIAL OPERATIONS UNIT,SERGEANT,TRAINING INSTRUCTOR,DUBLIN
